Kepolisian Daerah,penipuan / perbuatan curang,penggelapan,korupsi
Aceh,417,444,50
sumatra Utara,2881,2059,83
sumatra Barat,1279,1379,84
Riau,819,389,59
Jambi,1047,988,48
Sumatra Selatan,1490,1381,68
Bengkulu,356,355,33
Lampung,658,722,34
Bngka Belitung,68,78,24
Kep. Riau,294,351,22
Jakarta,2595,5823,69
Jawa Barat,1247,3608,78
Jawa Tengah,1351,1353,94
DIY,548,1404,25
Jawa Timur,1731,4197,171
Banten,172,587,31
Bali,268,229,49
NTB,181,194,45
NTT,247,403,60
Kalimanten Barat,576,319,68
Kalimanten Tengah,142,64,48
Kalimanten Selatan,247,153,52
Kalimanten Timur,530,398,94
Sulawesi Utara,452,735,40
Sulawesi Tengah,647,785,24
Sulawesi Selatan,724,1229,113
Sulawesi Tenggara,218,399,49
Gorontalo,280,350,29
Maluku,10,21,15
Maluku Utara,20,16,22
Papua Barat,58,91,5
Papua,93,185,94